id,created_at,favorite_count,retweet_count,text
1491968840347041795,2022-02-11 02:54:25+00:00,7633,1245,"This afternoon, the Vice President and I met with Senate Judiciary Committee Democrats to discuss the Supreme Court nomination process. There are a wealth of extraordinarily qualified potential nominees under consideration — all of whom are deserving of bipartisan support. https://t.co/yYDcH31KJs"
1491926713252691973,2022-02-11 00:07:01+00:00,8639,1596,"No kid should have to spend their day worrying about the cost of their lifesaving medication. I’m going to keep fighting tooth and nail to lower insulin and other prescription drug prices — and with champions like Joshua, I’m confident we’ll get it done. https://t.co/8kozxHWzIX"
1491911105022771203,2022-02-10 23:05:00+00:00,12047,2091,"Every day we see the devastating impact of our nation’s crumbling infrastructure, but that’s about to change. We’re putting Americans to work rebuilding our bridges and highways, delivering clean water, and so much more."
1491886401612300289,2022-02-10 21:26:50+00:00,60311,9280,"We can cap co-pays for insulin at $35 a month.

We could do that with the stroke of a pen.

The Senate just needs to pass my Build Back Better Agenda."
1491868921879740420,2022-02-10 20:17:23+00:00,6309,1202,"I know a lot of families are still hurting with higher prices for the things they need, that’s why I’m committed to using every tool we have to lower costs for Americans. I traveled to Virginia today to discuss the progress we’ve made, and the work we have ahead. https://t.co/EzvwswJUQs"
1491850497397071874,2022-02-10 19:04:10+00:00,9439,1725,"One in four Americans who take prescription drugs struggle to afford them. It’s unacceptable—and it doesn’t need to be that way.

Under my Build Back Better Agenda, we'll hold companies accountable for absurd price increases and give Medicare the power to negotiate better prices."
1491837580446420997,2022-02-10 18:12:50+00:00,11625,1963,"In our first year, we made quality coverage through the Affordable Care Act more affordable than ever — with families saving an average of $2,400 on their annual premiums."
1491827871924604934,2022-02-10 17:34:16+00:00,3545,731,"Tune in as I deliver remarks highlighting our work to lower health care costs, including prescription drug costs, for American families. https://t.co/XjgO837mns"
1491824108312608770,2022-02-10 17:19:18+00:00,3729,751,"While today is a reminder that Americans’ budgets are being stretched, there are also signs that we will make it through this challenge of higher prices. My Administration will continue to be all hands on deck to win this fight.  https://t.co/MtWxIAkCBl"
1491800734102294535,2022-02-10 15:46:25+00:00,15430,2139,"Today, I’m heading to Culpeper to discuss the work we’re doing to lower health care and prescription drug costs for working families. See you soon, Virginia!"
1491777387809415170,2022-02-10 14:13:39+00:00,5942,1225,My Bipartisan Infrastructure Law and economic strategy are leading to a domestic manufacturing and jobs resurgence unlike anything we've seen before. https://t.co/megqScv3as
1491607687297122304,2022-02-10 02:59:20+00:00,61879,5253,"When I heard my friends @billieeilish and @finneas were in town for a show, I knew I had to invite them over to the White House. Great to see you and your family — and I’m glad you got to meet Commander. https://t.co/6glg618sil"
1491584831490244608,2022-02-10 01:28:30+00:00,6285,1200,"Leaders in the utilities sector know exactly what building a clean energy future means. It’s about tackling climate change, making us more economically competitive, making our grid more resilient, and lowering bills for families.
 
My Build Back Better Agenda will get it done. https://t.co/y5LJVA6vxM"
1491521369678430212,2022-02-09 21:16:20+00:00,46540,6289,"There’s a long list of extraordinarily qualified Black women to serve on the Supreme Court. After 232 years and 115 justices, we’re finally going to put one on the bench."
1491503029157257225,2022-02-09 20:03:27+00:00,14469,2281,"My goal of reaching 100% clean electricity by 2035 won’t just help us meet the moment on climate change. It will support the creation of hundreds of thousands of good-paying jobs and lower energy bills for families.
 
These investments are about today — and the future."
