id,created_at,favorite_count,retweet_count,text
819010520426676224,2017-01-11 02:38:19+00:00,2502,1240,"""All of us, regardless of party, should throw ourselves into the task of rebuilding our democratic institutions."" —@POTUS #ObamaFarewell"
819010410661740545,2017-01-11 02:37:53+00:00,3974,2002,"""Our democracy is threatened whenever we take it for granted."" —@POTUS: https://t.co/e9x9IgShRS #ObamaFarewell"
819010231762096130,2017-01-11 02:37:10+00:00,4141,1627,"""That’s why I reject discrimination against Muslim Americans."" —@POTUS on holding true to America's values #ObamaFarewell"
819009946423558146,2017-01-11 02:36:02+00:00,5109,1865,"""To all who serve, it has been the honor of my lifetime to be your Commander-in-Chief."" —@POTUS #ObamaFarewell https://t.co/tf6gNH08pq"
819009113703280640,2017-01-11 02:32:43+00:00,1507,460,"""The global coalition we’re leading against ISIL has taken out their leaders, and taken away about half their territory."" —@POTUS"
819008444468436992,2017-01-11 02:30:04+00:00,3997,2370,"“Without bolder action, our children won’t have time to debate...climate change; they’ll be busy dealing with its effects"" —@POTUS https://t.co/jMOQvn3vK6"
819008216709402624,2017-01-11 02:29:09+00:00,3512,1699,"In the past eight years we've: 
Cut dependence on foreign oil ✓
Doubled renewable energy ✓ 
Signed the #ParisAgreement ✓ 
#ObamaFarewell https://t.co/NtFf7ldoyY"
819007892670021633,2017-01-11 02:27:52+00:00,5253,2528,"“Without some common baseline of facts...and that science and reason matter, we’ll keep talking past each other"" —@POTUS on the work ahead"
819007391958237185,2017-01-11 02:25:53+00:00,4610,2338,"“For too many of us, it’s become safer to retreat into our own bubbles…surrounded by people who look like us” —@POTUS #ObamaFarewell"
819007200064663553,2017-01-11 02:25:07+00:00,2955,1315,“We all have to try harder...to start with the premise that each of our fellow citizens loves this country just as much as we do” —@POTUS
819006717195329536,2017-01-11 02:23:12+00:00,5143,2219,"""Going forward, we must uphold laws against discrimination – in hiring, in housing, in education and the criminal justice system"" —@POTUS"
819006577952833536,2017-01-11 02:22:39+00:00,1996,784,"“Last year, incomes rose for all races, all age groups, for men and for women.” —@POTUS #ObamaFarewell"
819006464580788224,2017-01-11 02:22:12+00:00,6951,3492,“If we’re unwilling to invest in the children of immigrants...we diminish the prospects of our own children” —@POTUS #ObamaFarewell
819006109440733184,2017-01-11 02:20:47+00:00,1775,738,"“I’ve lived long enough to know that race relations are better than they were 10, or 20, or 30 years ago, no matter what folks say."" —@POTUS"
819005844461326336,2017-01-11 02:19:44+00:00,2821,1709,“Race remains a potent and often divisive force in our society.” —@POTUS: https://t.co/e9x9IgShRS #ObamaFarewell
819005056485888000,2017-01-11 02:16:36+00:00,2276,937,“Our democracy won’t work without a sense that everyone has economic opportunity.” —@POTUS #ObamaFarewell
819004958448226304,2017-01-11 02:16:13+00:00,6068,3470,"""Change only happens when ordinary people get involved, get engaged, and come together to demand it.” —@POTUS"
819004696320995329,2017-01-11 02:15:10+00:00,2318,975,"“Our youth and drive, our diversity and openness, our boundless capacity for risk &amp; reinvention mean that the future should be ours” —@POTUS https://t.co/gLamWxFdXH"
819004387267854342,2017-01-11 02:13:56+00:00,2047,835,“It’s up to all of us to make sure our government can help us meet the many challenges we still face.” —@POTUS #ObamaFarewell
819004067884175360,2017-01-11 02:12:40+00:00,2652,1003,"“You answered people’s hopes, and because of you…America is a better, stronger place than it was when we started."" —@POTUS #ObamaFarewell"
819003950263336960,2017-01-11 02:12:12+00:00,63473,27837,"Longest stretch of job creation in history ✓
Auto industry is back ✓ 
20 million more with health care ✓
Marriage = 

“That’s what we did.” https://t.co/3GEkZes3Qa"
819003607123116034,2017-01-11 02:10:50+00:00,2367,1047,"“The long sweep of America has been defined by forward motion, a constant widening of our founding creed to embrace all” —@POTUS"
819003384355229696,2017-01-11 02:09:57+00:00,3710,1793,“Our progress has been uneven. The work of democracy has always been hard…contentious and sometimes bloody.” —@POTUS #ObamaFarewell https://t.co/fNMh2frhYd
819002992628236290,2017-01-11 02:08:24+00:00,3913,1428,"“For 240 years, our nation’s call to citizenship has given work and purpose to each new generation.” —@POTUS #ObamaFarewell https://t.co/2SJNviPK74"
819002854232956928,2017-01-11 02:07:51+00:00,1704,659,"""A great gift our Founders gave us. The freedom to chase our individual dreams through our sweat, toil, and imagination""  —@POTUS"
819002807529381888,2017-01-11 02:07:40+00:00,1373,526,"""It’s the insistence that...We, the People, through the instrument of our democracy, can form a more perfect union.” —@POTUS"
819002679389208576,2017-01-11 02:07:09+00:00,3483,1927,"“I learned that change only happens when ordinary people get involved, get engaged, and come together to demand it” —@POTUS https://t.co/1NIexEhGlu"
819002451462418433,2017-01-11 02:06:15+00:00,4273,1781,"“Every day, I have learned from you. You made me a better President, and you made me a better man.” —@POTUS #ObamaFarewell"
819002099396726784,2017-01-11 02:04:51+00:00,1887,755,“Tonight it’s my turn to say thanks.” —@POTUS: https://t.co/e9x9IgShRS #ObamaFarewell
819001534470127616,2017-01-11 02:02:36+00:00,3218,1410,Happening now: @POTUS takes the stage in Chicago for his Farewell Address. Tune in: https://t.co/e9x9IgShRS #ObamaFarewell https://t.co/NxQzVHfmMd
819001160652623873,2017-01-11 02:01:07+00:00,14460,11099,Live from Chicago: President Obama's Farewell Address https://t.co/1fEYWs1Z69
818985781859491840,2017-01-11 01:00:01+00:00,5176,2240,"Thanks for eight great years. Tonight, @POTUS returns home to say his grateful farewell to you: https://t.co/e9x9Ih9SJq #ObamaFarewell https://t.co/tiNJmcTCe6"
818972164862906368,2017-01-11 00:05:54+00:00,3759,1725,"""For me, it’s always been about you."" —@POTUS. Watch his Farewell Address tonight at 9pm ET: https://t.co/e9x9IgShRS #ObamaFarewell https://t.co/bKiYhKHfOW"
818962681176563712,2017-01-10 23:28:13+00:00,6554,3411,"#YesWeCan move our country forward. Tonight, @POTUS returns home to say his grateful farewell to you: https://t.co/e9x9Ih9SJq #ObamaFarewell https://t.co/qPzUPeZPTR"
818956370481319936,2017-01-10 23:03:08+00:00,1869,626,.@POTUS boards Marine One en route to Chicago for his Farewell Address. Tune in at 9pm ET: https://t.co/e9x9Ih9SJq #ObamaFarewell https://t.co/vLvOPowk2z
818916657255084035,2017-01-10 20:25:20+00:00,4577,1708,"""I hope you’ll join me in Chicago as the President speaks about all we’ve accomplished"" —@VP. Tune in at 9pm ET: https://t.co/e9x9IgShRS https://t.co/t2uCRZ3BgC"
818905371154714624,2017-01-10 19:40:29+00:00,824,346,"""We’ve reaffirmed the belief that we can make a difference with our own hands, in our own time."" —@POTUS https://t.co/WpHxxHyhs2 https://t.co/qISHf8BeiO"
818893710826078208,2017-01-10 18:54:09+00:00,943,320,.@VP reflects on eight years working with @POTUS on behalf of the American people: https://t.co/FIcAthiv4e #ObamaFarewell https://t.co/q9hd1HOoPg
